id,適用日,職種,都道府県,労務単価
24,2015/02/01,運転手（一般）,埼玉県,19100
25,2015/02/01,潜かん工,埼玉県,26600
26,2015/02/01,潜かん世話役,埼玉県,31500
27,2015/02/01,さく岩工,埼玉県,24400
28,2015/02/01,トンネル特殊工,埼玉県,25600
29,2015/02/01,トンネル作業員,埼玉県,21900
30,2015/02/01,トンネル世話役,埼玉県,28800
31,2015/02/01,橋りょう特殊工,埼玉県,27800
32,2015/02/01,橋りょう塗装工,埼玉県,27900
33,2015/02/01,橋りょう世話役,埼玉県,30500
34,2015/02/01,土木一般世話役,埼玉県,22200
35,2015/02/01,高級船員,埼玉県,27600
36,2015/02/01,普通船員,埼玉県,21700
37,2015/02/01,潜水士,埼玉県,35700
38,2015/02/01,潜水連絡員,埼玉県,25400
39,2015/02/01,潜水送気員,埼玉県,25400
40,2015/02/01,山林砂防工,埼玉県,25500
41,2015/02/01,軌道工,埼玉県,41700
42,2015/02/01,型わく工,埼玉県,23400
43,2015/02/01,大工,埼玉県,
44,2015/02/01,左官,埼玉県,24100
45,2015/02/01,配管工,埼玉県,20000
46,2015/02/01,はつり工,埼玉県,22500
47,2015/02/01,防水工,埼玉県,25900
48,2015/02/01,板金工,埼玉県,24900
49,2015/02/01,タイル工,埼玉県,
50,2015/02/01,サッシ工,埼玉県,22900
51,2015/02/01,内装工,埼玉県,25100
52,2015/02/01,ガラス工,埼玉県,22300
53,2015/02/01,建具工,埼玉県,21800
54,2015/02/01,ダクト工,埼玉県,20100
55,2015/02/01,保温工,埼玉県,20700
56,2015/02/01,設備機械工,埼玉県,21100
57,2015/02/01,交通誘導警備員A,埼玉県,12200
58,2015/02/01,交通誘導警備員B,埼玉県,10900
11,2015/02/01,特殊作業員,千葉県,21400
12,2015/02/01,普通作業員,千葉県,18100
13,2015/02/01,軽作業員,千葉県,13100
14,2015/02/01,造園工,千葉県,20100
15,2015/02/01,法面工,千葉県,23200
16,2015/02/01,とび工,千葉県,24800
17,2015/02/01,石工,千葉県,24700
18,2015/02/01,ブロック工,千葉県,
19,2015/02/01,電工,千葉県,21500
20,2015/02/01,鉄筋工,千葉県,25200
21,2015/02/01,鉄骨工,千葉県,22500
22,2015/02/01,塗装工,千葉県,24200
23,2015/02/01,溶接工,千葉県,25600
24,2015/02/01,運転手（特殊）,千葉県,21300
25,2015/02/01,運転手（一般）,千葉県,19000
26,2015/02/01,潜かん工,千葉県,26600
27,2015/02/01,潜かん世話役,千葉県,31500
28,2015/02/01,さく岩工,千葉県,24400
29,2015/02/01,トンネル特殊工,千葉県,25400
30,2015/02/01,トンネル作業員,千葉県,21800
31,2015/02/01,トンネル世話役,千葉県,28700
