id,開始日,終了日,職種,都道府県,労務単価
452,2015-02-01,2016-01-31,塗装工,群馬県,20500
453,2015-02-01,2016-01-31,溶接工,群馬県,24400
454,2015-02-01,2016-01-31,運転手（特殊）,群馬県,19300
455,2015-02-01,2016-01-31,運転手（一般）,群馬県,16300
456,2015-02-01,2016-01-31,潜かん工,群馬県,26700
457,2015-02-01,2016-01-31,潜かん世話役,群馬県,31600
458,2015-02-01,2016-01-31,さく岩工,群馬県,24500
459,2015-02-01,2016-01-31,トンネル特殊工,群馬県,27600
460,2015-02-01,2016-01-31,トンネル作業員,群馬県,22100
461,2015-02-01,2016-01-31,トンネル世話役,群馬県,28900
462,2015-02-01,2016-01-31,橋りょう特殊工,群馬県,27000
463,2015-02-01,2016-01-31,橋りょう塗装工,群馬県,28100
464,2015-02-01,2016-01-31,橋りょう世話役,群馬県,30400
465,2015-02-01,2016-01-31,土木一般世話役,群馬県,21800
466,2015-02-01,2016-01-31,高級船員,群馬県,29000
